"Name","Description","Main Category","Categories","Query","City","Address","Ward","Street","Postal Code","State","Country Code","Time Zone","Plus Code","Phone","Website","Rating","Reviews","Score","Score Category","Price Range","Status","Latitude","Longitude","About","Service Name","Service Option"
"Field & People","","Agence événementielle","Agence événementielle","agence evenementiel in montmorency","Paris","36 Rue du Mont Thabor, 75001 Paris","","36 Rue du Mont Thabor","75001","","FR","Europe/Paris","V88G+JJ Paris","01 48 28 85 27","","5.0","2","66","Good","","","48.8665202","2.3265354","","",""
"Anima ? agent ludique","Animations ludiques et culturelles pour les entreprises et le grand public","Agence événementielle","Agence événementielle","agence evenementiel in montmorency","Paris","83 Rue du Faubourg Saint-Martin, 75010 Paris","","83 Rue du Faubourg Saint-Martin","75010","","FR","Europe/Paris","V9F4+4V Paris","01 42 29 43 19","http://www.anima-agentludique.com/","5.0","290","97","Excellent","","Ouvert ? Ferme à 19:00","48.8728264","2.3571497","Fournis par l'établissement","Fournis par l'établissement","S'identifie comme géré par une femme"
"Le Bar Paris Evenementiel Cocktail","","Agence événementielle","Agence événementielle","agence evenementiel in montmorency","Paris","24 Rue Notre Dame de Nazareth, 75003 Paris","","24 Rue Notre Dame de Nazareth","75003","","FR","Europe/Paris","V986+W2 Paris","06 13 84 57 75","http://www.le-bar-paris.com/","5.0","4","71","Good","","Ouvert 24h/24","48.867368899999995","2.3600347","","",""
"IN VIVO AND CO","","Agence événementielle","Agence événementielle","agence evenementiel in montmorency","Paris","320 Rue Saint-Honoré, 75001 Paris","","320 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88J+4G Paris","01 83 39 03 81","http://invivo-co.com/","4.0","4","58","Average","","Ouvert ? Ferme à 19:30","48.8653687","2.331321","","",""
"Stratevent - France","Basée à Paris, nous offrons des programmes uniques et originaux en France mais nous pouvons aussi intervenir partout en Europe et à l'étranger via les bureaux réceptifs du Groupe ou via nos partenaires.","Agence événementielle","Agence événementielle; Organisateur d'événements","agence evenementiel in montmorency","Paris","160 Rue Montmartre, 75002 Paris","","160 Rue Montmartre","75002","","FR","Europe/Paris","V8CV+37 Paris","01 53 67 49 10","http://stratevent.com/","5.0","4","71","Good","","Ouvert ? Ferme à 19:00","48.8702076","2.343242","","",""
"Eventdrive - Logiciel Gestion Événement","Eventdrive is THE end-to-end platform to manage virtual, hybrid, and in-person corporate events. Event registration websites, email and text message campaigns, event live streaming, personalized web and mobile event apps, powerful analytics and reporting, Eventdrive is an all-in-one solution packed with features that empower event professionals so that they can design the ultimate participant experience. Checkout our website for more information.","Entreprise de logiciels","Entreprise de logiciels","agence evenementiel in vanves","Paris","2 Imp. Lebouis, 75014 Paris","","2 Imp. Lebouis","75014","","FR","Europe/Paris","R8PC+PQ Paris","09 72 41 66 13","https://www.eventdrive.com/","4.7","12","70","Good","","Ferme bientôt ? 19:00 ? Ouvre à 09:00 mar.","48.8367733","2.3218772999999997","","",""
"Yachts De Paris - Ouest","Yachts de Paris sont des yachts et des salons privatisables sur la Seine pour vos évènements professionnels ou privés.
Yachts de Paris s?est illustré comme la référence de l?art de recevoir en Seine en proposant une multitude d?évènements et d?expériences exclusives toutes plus somptueuses les unes que les autres.

Sur nos Yachts ou dans nos Salons, découvrez le raffinement et l?excellence de l'univers du yachting. Séminaire, team building, soirée d'entreprise, réception de mariage ou anniversaire, Yachts de Paris sauront toujours vous accueillir avec élégance.","Organisateur d'événements","Organisateur d'événements; Service de location de bateaux; Agence d'excursions en bateau; Centre de conférence; Salle de réception; Séminaire; Organisateur de mariages; Lieu de mariage","agence evenementiel in vaureal","Paris","Port de Javel Haut, 75015 Paris","","Port de Javel Haut","75015","","FR","Europe/Paris","R7XH+38 Paris","01 44 54 14 70","https://www.yachtsdeparis.fr/?utm_source=google_my_business&utm_medium=referencement_local&utm_campaign=fiche_yachts_de_paris_ouest","4.5","125","80","Excellent","","","48.8477287","2.2783594","Accessibilité","Accessibilité","Entrée accessible en fauteuil roulant; Parking accessible en fauteuil roulant"
"Secret events Paris Vendôme","","Agence événementielle","Agence événementielle","agence evenementiel in vendome","Paris","231 Rue Saint-Honoré, 75001 Paris","","231 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88H+FM Paris","01 56 88 49 01","","2.0","2","54","Average","","","48.866177799999996","2.3291679","","",""
"Agence Bonchar","Event Agency & services","Agence événementielle","Agence événementielle","agence evenementiel in vendome","Paris","209 Rue Saint-Honoré, 75001 Paris","","209 Rue Saint-Honoré","75001","","FR","Europe/Paris","V88J+2C Paris","","https://agencebonchar.com/","5.0","6","75","Good","","","48.8650166","2.3311138","","",""
"Espace Leon Vendome","","Agence événementielle","Agence événementielle","agence evenementiel in vendome","Paris","416 Rue Saint-Honoré, 75008 Paris","","416 Rue Saint-Honoré","75008","","FR","Europe/Paris","V89F+7M Paris","01 86 95 46 00","https://www.espacesleon.fr/","0.0","0","60","Average","","","48.8682401","2.3241517","Accessibilité; Parking","Accessibilité; Parking","Entrée accessible en fauteuil roulant; Parking payant dans la rue"
